bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,talk_en,
,,,,,,,,akane,หลังการปะทะคารมเสร็จสิ้น นักเรียนทุกคนจะโหวตลงคะแนนทันที,,,,"After the verbal clash concludes, all students vote immediately.",
,,,,hide akane,,,,akane,ครั้งที่แล้วชมรมบาสเกตบอลกับชมรมดนตรีเสนอโต้วาทีเพราะต้องการใช้โรงยิมเพื่อฝึกซ้อมในวันและเวลาเดียวกัน ผลสุดท้ายชมรมดนตรีชนะไปด้วยคะแนนเสียง 52,,,,"Last time, the basketball club and the music club proposed a debate because they wanted to use the gym for practice on the same day and time. In the end, the music club won with 52 votes.",ข้อความยาวไป
,,,,,,,,yuma,แล้วครั้งนี้เป็นประเด็นเรื่องอะไร กับใครล่ะ,,,,"So what's the issue this time, and who's involved?",
,,MusMus-BGM-143,,kazuma,,normal,,kazuma,นี่แหละปัญหา รอบนี้ฝ่ายเสนอญัตติท้าโต้วาทีกับสภานักเรียนโดยตรงเลย,,,,"That's the problem. This time, the group proposing the motion is challenging the student council directly.",
,,,,,,,,kazuma,เห็นบอกว่าเป็นกลุ่มนักเรียนที่ชื่อว่า ‘สุริยันสาดแสง’ น่ะ ,,,,I heard it's a student group called 'Radiant Sun' or something.,[//ภาษาอังกฤษ - The Radiant Dawn]
,,,,hide kazuma,,,,,,,,,,
,,,,reika,,tense,,reika,สุริยันสาดแสง? ชื่อประหลาดดีนะ,,,,Radiant Sun? That's a weird name.,
,,,,,,,,yuma,ชื่อโคตรเท่ อย่างกะฉายาในเกมออนไลน์สมัยก่อนเลย,,,,"The name's super cool, like an old-school online game nickname.",
,,,,,,worry,,reika,คงจะมีแต่นายละมั้งที่คิดว่าชื่อแบบนี้มันเท่ ยูมะ,,,,"I think you're the only one who thinks that kind of name is cool, Yuma.",
,,,,,,,,yuma,เธอมีปัญหากับเซนส์การตั้งชื่อของฉันหรือไง,,,,Do you have a problem with my sense of naming?,
,,,,,,ah,,reika,ถ้าอย่างนั้น นายลองตั้งชื่อกลุ่มดูบ้างสิ,,,,"If that's the case, why don't you try naming a group?",
,,,,,,normal,,yuma,Dark Flame Conqueror,,,,Dark Flame Conqueror,
,,,,,,,dot3,,หลังจากที่ผมประกาศชื่อที่เท่ที่สุดเท่าที่คิดออกมาได้ ห้องสภานักเรียนก็ตกอยู่ในความเงียบงัน,,,,"After I announced what I thought was the coolest name I could come up with, the student council room fell into silence.",
,,,,,,ah_2,,reika,คาสึมะ พอรู้ไหมว่ากลุ่มสุริยันสาดแสงเป็นใครมาจากไหน,,,,"Kasuma, do you know who this Radiant Sun group is or where they're from?",
,,,,hide reika,,,,yuma,นี่เมินกันเหรอ!,,,,Are you guys ignoring me?!,
,,,,kazuma,,ah,,kazuma,เท่าที่ทราบ สุริยันสาดแสงเป็นกลุ่มนักเรียนหัวก้าวหน้าที่ต้องการเปลี่ยนแปลงโรงเรียนแบบก้าวกระโดด,,,,"As far as I know, Radiant Sun is a progressive student group that wants to make drastic changes to the school.",
,,,,,,,,kazuma,สโลแกนคือทำให้โรงเรียนเจิดจ้าราวกับดวงตะวัน อะไรสักอย่างทำนองนี้,,,,Their slogan is something like 'Make the school shine as bright as the sun'.,
,,,,,,,,kazuma,ได้ข่าวว่ารอบหน้าจะลงสมัครเลือกตั้งประธานนักเรียนด้วย,,,,I heard they're planning to run for student council president next time.,
,,,,,,,,yuma,สรุปคือว่าที่คู่แข่งของพวกเราในอนาคตสินะ,,,,"So they're our future rivals, huh?",
,,,,,,serious,,kazuma,ในเมื่อเจ้าพวกนั้นกล้าท้าชนสภานักเรียน เดี๋ยวฉันจะเป็นตัวแทนฝ่ายค้านให้เอง,,,,,
,,,,hide kazuma,,,,,การโต้วาทีไม่ใช่เรื่องที่พบได้บ่อย โดยเฉพาะอย่างยิ่งการท้าชนกับสภานักเรียน,,,,"Debates aren't common, especially challenging the student council directly.",
,,,,,,,,,เรียกได้ว่าไม่เคยมีมาก่อนตั้งแต่ประวัติศาสตร์การก่อตั้งโรงเรียนแห่งนี้,,,,You could say it's unprecedented in the history of this school's establishment.,
,,,,,,,,,แสดงว่ากลุ่มสุริยันสาดแสงพวกนั้นต้องมีไพ่ตายอยู่ในมือแน่นอน,,,,That means this Radiant Sun group must have an ace up their sleeve.,
,,,,,,,,,ไม่สิ เราต้องเชื่อมั่นในความสามารถของสภานักเรียน เราต้องผ่านไปได้,,,,"No, we have to believe in the student council's abilities. We must get through this.",
,,,,kazuma,,normal,,yuma,ฉันเชื่อใจนายนะ คาสึมะ,,,,"I trust you, Kasuma.",
,,,,,,confident,,kazuma,ฉันไม่คิดจะแพ้ให้กับเจ้าพวกนั้นอยู่แล้ว วางใจได้เลย,,,,I never intended to lose to them anyway. You can count on me.,
,,,,,,,,,คาสึมะยอมรับคำท้าและอาสาเป็นตัวแทนฝ่ายค้าน,,,,Kasuma accepted the challenge and volunteered to be the opposition representative.,
,,,,hide kazuma,,,,,พอเห็นแบบนั้นแล้วผมรู้สึกโล่งใจที่ไม่ต้องขึ้นไปพูดกลางที่สาธารณะแบบนั้น,,,,"Seeing that, I felt relieved that I didn't have to speak in public like that.",
,,,,,,,,,แถมถ้าคาสึมะลงคนมือเอง ก็คงไม่มีอะไรน่าเป็นห่วง,,,,"Plus, with Kasuma taking the lead, there's probably nothing to worry about.",
